CCG Code,Practice Code,Practice Name,GP Prevalence
06M,D82007,NEWTOWN AND CAISTER MEDICAL PRACTICE,6.9
06M,D82600,FLEGGBURGH SURGERY,6.9
06M,D83022,SOUTHWOLD SURGERY,6.7
06M,D82003,CENTRAL SURGERY,6.5
06M,D82067,THE PARK SURGERY,6.4
06M,D83009,BECCLES MEDICAL CENTRE,6.4
06L,D83614,LANDSEER ROAD SURGERY,6.9
06L,D83015,HOWARD HOUSE SURGERY,6.8
06L,Y01794,RAVENSWOOD MEDICAL PRACTICE,6.0
06L,D83007,IXWORTH SURGERY,6.0
06L,D83053,SAXMUNDHAM HEALTH CENTRE,6.0
06L,D83048,CENTRAL SURGERY,5.9
06L,D83008,BURLINGTON ROAD SURGERY,5.8
06L,D83084,THE BIRCHES MEDICAL CENTRE,5.7
06L,D83081,HAVEN HEALTH,5.6
06L,D83039,THE CHESTERFIELD DRIVE PRACTICE,5.5
06K,E82008,THE NEVELLS ROAD SURGERY,7.0
06K,E82133,HIGH STREET SURGERY,6.8
06K,E82002,WRAFTON HOUSE SURGERY,6.4
06K,E82018,LISTER HOUSE SURGERY,6.4
06K,E82042,ABBEY ROAD SURGERY,5.9
06K,E82080,ORFORD LODGE,5.9
06K,E82079,CROMWELL MEDICAL CENTRE,5.8
06K,E82082,BIRCHWOOD SURGERY,5.7
06K,E82093,BEDWELL MEDICAL CENTRE,5.7
06K,E82123,WARDEN LODGE MEDICAL PRACTICE,5.7
06H,D81071,DODDINGTON MEDICAL CENTRE,8.5
06H,D81064,MERCHEFORD HOUSE,8.3
06H,D81603,RIVERSIDE PRACTICE,8.1
06H,D81065,WELLAND MEDICAL,8.0
06H,D81061,GEORGE CLARE SURGERY,7.4
06H,D81011,CLARKSON SURGERY,7.4
06H,D81052,CORNERSTONE PRACTICE,7.2
06H,D81024,THOMAS WALKER,7.2
06H,D81026,LINCOLN ROAD SURGERY,7.1
06H,D81019,MINSTER MEDICAL PRACTICE,7.1
06F,E81021,QUEENS PARK HEALTH CENTRE,8.5
06F,E81626,VICTORIA RD / AMPTHILL RD SURGERY,8.0
06F,E81038,KING STREET SURGERY,7.9
06F,E81615,ASHBURNHAM ROAD SURGERY,7.7
06F,E81060,LINDEN ROAD SURGERY,7.0
06F,E81069,CADDINGTON SURGERY,7.0
06F,E81019,LONDON ROAD HEALTH CENTRE,6.9
06F,E81029,PUTNOE MEDICAL CENTRE PARTNERSHIP,6.7
06F,E81036,IVEL MEDICAL CENTRE,6.5
06F,Y00328,GOLDINGTON ROAD DR DAS,6.4
06D,M81010,FOREST GLADES MEDICAL CENTRE,6.8
06D,M81040,YORK HOUSE MEDICAL CENTRE,6.5
06D,M81056,THE CHURCH STREET PRACTICE,6.1
06D,M81608,WOLVERLEY SURGERY,6.1
06D,M81073,STOURPORT HEALTH CENTRE,6.0
06D,M81606,COOKLEY SURGERY,6.0
06D,M81068,AYLMER LODGE SURGERY,6.0
06D,M81065,KIDDERMINSTER HEALTH CENTRE,5.8
06D,M81015,STANMORE HOUSE SURGERY,5.7
06D,M81005,NORTHUMBERLAND HOUSE SURGERY,5.5
06A,M92015,DRS PAHWA,9.9
06A,M92012,DUNCAN STREET PRIMARY CARE PARTNERSHIP,9.4
06A,M92031,"DRS PASSI, PASSI & HANDA",9.2
06A,M92035,ALL SAINTS SURGERY,8.9
06A,M92607,WHITMORE REANS MEDICAL PRACTICE,8.9
06A,M92007,LEA ROAD MEDICAL PRACTICE,8.8
06A,M92027,CAERLEON SURGERY,8.8
06A,M92003,DR SURYANI,8.7
06A,M92654,BRADLEY CLINIC PRACTICE,8.2
06A,M92647,BRADLEY MEDICAL CENTRE,8.1
05Y,M91602,KAHN'S MEDICAL CENTRE,9.6
05Y,Y02624,THE WHARF FAMILY PRACTICE,9.3
05Y,M91039,HIGH STREET SURGERY,9.3
05Y,M91655,COALPOOL SURGERY,9.2
05Y,M91647,PILLAI,9.2
05Y,M91660,DARLASTON HEALTH CENTRE,9.0
05Y,M91024,DR NAMBISAN SURGERY,8.9
05Y,M91037,BLOXWICH MEDICAL PRACTICE,8.9
05Y,M91611,BEECHDALE CENTRE,8.8
05Y,M91004,ST. PETER'S SURGERY,8.7
05X,M82054,HADLEY MEDICAL PRACTICE,8.0
05X,M82029,OAKENGATES MEDICAL PRACTICE,7.4
05X,M82007,CHARLTON MEDICAL PRACTICE,7.4
05X,M82027,SUTTON HILL MEDICAL PRACTICE,6.7
05X,M82039,WELLINGTON MEDICAL PRACTICE,6.4
05X,M82009,DAWLEY MEDICAL PRACTICE,6.2
05X,M82012,DONNINGTON MEDICAL PRACTICE,6.2
05X,M82042,WOODSIDE MEDICAL PRACTICE,6.1
05X,M82028,WELLINGTON ROAD SURGERY,6.0
05X,Y02422,MALLING HEALTH - WREKIN WIC,5.8
05W,M83627,APSLEY HOUSE,9.5
05W,Y00592,MOSS GREEN SURGERY,9.0
05W,M83624,CAMBRIDGE HOUSE,8.7
05W,M83631,PRACTICE OF DR BD PATEL,8.6
05W,Y00303,WILLOW BANK HEALTH CENTRE,8.4
05W,M83082,THE HAYMARKET HEALTH CENTRE,8.3
05W,M83133,PRACTICE OF DR GT CHAND,8.2
05W,M83712,PRACTICE OF DR AK SINHA,8.2
05W,M83090,MEDICAL CENTRE DUNROBIN STREET,8.1
05W,M83623,SNOWHILL MEDICAL CENTRE,8.0
05V,M83036,RISING BROOK,6.7
05V,M83049,HOLMCROFT,6.1
05V,M83024,CASTLEFIELDS,5.9
05V,M83069,MANSION HOUSE,5.8
05V,M83044,BROWNING STREET,5.8
05V,M83009,BREWOOD,5.7
05V,M83045,PENKRIDGE MEDICAL PRACTICE,5.7
05V,M83611,JOHN AMERY DRIVE SURGERY,5.7
05V,M83022,HAZELDENE HOUSE SURGERY,5.2
05V,M83092,CROWN SURGERY,4.9
05T,M81047,SPA MEDICAL PRACTICE,7.2
05T,M81058,MERSTOW GREEN MEDICAL PRACTICE,7.1
05T,M81074,PERSHORE HEALTH CENTRE,7.0
05T,M81034,SALTERS MEDICAL PRACTICE,6.7
05T,M81046,ABBOTTSWOOD MEDICAL CENTRE,6.6
05T,M81008,SPRING GARDENS GROUP MEDICAL PRACTICE,6.5
05T,M81094,ABBEY MEDICAL PRACTICE,6.5
05T,M81037,THORNELOE LODGE SURGERY,6.4
05T,M81029,BARN CLOSE SURGERY,6.2
05T,M81011,OMBERSLEY MEDICAL CENTRE,6.1
05R,M84059,SPA MEDICAL CENTRE,9.8
05R,M84066,MEON MEDICAL CENTRE,6.7
05R,M84002,POOL MEDICAL CENTRE,6.0
05R,M84603,LISLE COURT MEDICAL CENTRE,5.7
05R,M84028,PRIORY MEDICAL CENTRE,5.4
05R,M84038,CAPE ROAD SURGERY,5.2
05R,M84018,BIDFORD HEALTH CENTRE,5.2
05R,M84060,ARROW LODGE MEDICAL CENTRE,5.1
05R,M84024,HENLEY-IN-ARDEN MEDICAL CENTRE,5.1
05R,M84047,TANWORTH-IN-ARDEN MEDICAL CENTRE,5.0
05Q,M83111,RIVERSIDE SURGERY,8.0
05Q,M83115,DR AHMAD'S SURGERY,7.1
05Q,M83110,HEATHVIEW MEDICAL CENTRE,6.8
05Q,M83072,SALTERS MEADOW HEALTH CENTRE,6.8
05Q,M83018,GRAVEL HILL,6.5
05Q,M83144,CHASETOWN MEDICAL CENTRE,6.3
05Q,M83117,CROWN MEDICAL PRACTICE,6.3
05Q,M83032,THE ALDERGATE MEDICAL PRACTICE,6.2
05Q,M83064,WILNECOTE SURGERY,6.2
05Q,M83097,BILBROOK,6.1
05P,M89027,GREEN LANE SURGERY,8.6
05P,M89021,COVENTRY ROAD PRACTICE,8.3
05P,M89602,CHESTER ROAD SURGERY,8.2
05P,M89013,ARRAN MEDICAL CENTRE,7.8
05P,M85048,CHURCH ROAD SURGERY,7.4
05P,M89003,MEADOWSIDE FAMILY HEALTH CENTRE,7.3
05P,M89024,GRAFTON ROAD SURGERY,6.7
05P,M89012,CRAIG CROFT MEDICAL CENTRE,6.7
05P,M89005,ST. MARGARETS MEDICAL PRACTICE,6.6
05P,M89009,MANOR HOUSE LANE SURGERY,6.5
05N,M82031,HIGHLEY MEDICAL CENTRE,6.6
05N,M82045,BRIDGEWATER SURGERY,6.6
05N,M82021,ALBRIGHTON MEDICAL PRACTICE,6.5
05N,M82601,ALVELEY MEDICAL PRACTICE,6.4
05N,M82013,WESTBURY MEDICAL CENTRE,6.3
05N,M82006,RIVERSIDE MEDICAL PRACTICE,6.3
05N,M82044,DODINGTON SURGERY,6.2
05N,M82050,MOUNT PLEASANT MEDICAL CENTRE,6.2
05N,M82058,HODNET MEDICAL PRACTICE,6.0
05N,M82035,WEM MEDICAL PRACTICE,5.9
05L,M85069,LAURIE PIKE HEALTH CENTRE,9.8
05L,M85009,HAMSTEAD RD SURGERY,9.6
05L,M85686,SUMMERFIELD PRIMARY CARE CENTRE,9.5
05L,M88637,MARSHALL STREET SURGERY,9.5
05L,M88633,LODGE ROAD SURGERY,9.2
05L,M88619,DR ARORA RK,9.1
05L,M85697,CHURCH ROAD SURGERY,9.0
05L,M88040,ST. PAUL'S MEDICAL PRACTICE,9.0
05L,Y02164,ASTON PRIDE FRANCHISE,9.0
05L,M88640,WARLEY ROAD SURGERY,8.9
05J,M81053,DR HAKEEM & DR AHMAD,8.2
05J,M81055,CORNHILL SURGERY,6.3
05J,M81001,ST. STEPHENS SURGERY,6.3
05J,M81002,ELGAR HOUSE,6.1
05J,M81070,CHURCHFIELDS SURGERY,6.0
05J,M81087,THE WOODROW MEDICAL CENTRE,6.0
05J,M81083,HOLLYOAKS MEDICAL CENTRE,5.9
05J,M81069,DAVENAL HOUSE SURGERY,5.8
05J,M81084,CATSHILL VILLAGE SURGERY,5.3
05J,M81041,HILLVIEW MEDICAL CENTRE,5.2
05H,M84057,THE CHAUCERS SURGERY,8.4
05H,M84627,THE OLD COLE HOUSE PRACTICE,8.1
05H,M84621,QUEENS ROAD SURGERY,8.0
05H,M84005,CHAPEL END SURGERY,8.0
05H,M84027,LEICESTER ROAD,7.6
05H,M84609,WOODLANDS SURGERY,7.6
05H,M84045,DR REILY & PARTNERS,7.1
05H,M84618,RUGBY ROAD SURGERY,7.0
05H,M84055,STOCKINGFORD MEDICAL CENTRE,7.0
05H,M84041,RIVERSLEY ROAD SURGERY,6.9
05G,M83697,MILEHOUSE MEDICAL PRACTICE,9.6
05G,M83089,DR JG JOHNSTON & PARTNERS,8.1
05G,M83034,SILVERDALE MEDICAL CENTRE,7.9
05G,M83658,DR P FRANKLIN,7.7
05G,M83701,TALKE PITS CLINIC,7.6
05G,M83108,DR DO YATES' PRACTICE,7.5
05G,M83005,HEATHCOTE STREET SURGERY,7.4
05G,M83084,DR J HOLLAND'S PRACTICE,7.3
05G,M83019,DR AF REES' PRACTICE,7.2
05G,M83017,ASHLEY SURGERY,7.2
05F,M81093,BELMONT MEDICAL CENTRE,6.7
05F,M81604,FOWNHOPE MEDICAL CENTRE,6.7
05F,M81054,THE MEADS KINGTON,6.7
05F,M81014,GREYFRIARS SURGERY,6.6
05F,M81048,NUNWELL SURGERY,6.4
05F,M81621,LEDBURY MARKET SURGERY,6.3
05F,M81003,THE HEALTH CENTRE,6.3
05F,M81018,WEOBLEY SURGERY,6.1
05F,M81600,CRADLEY SURGERY,5.9
05F,M81080,QUAY HOUSE MEDICAL CENTRE,5.8
05E,M85784,VENKAT MEDICAL CENTRE,8.4
05E,Y02567,HODGE HILL FAMILY PRACTICE,8.3
05E,M85141,SCHOOLACRE ROAD SURGERY,6.8
05E,M85079,EDEN COURT MEDICAL PRACTICE,6.8
05E,M85741,DR JS BAINS' PRACTICE,6.6
05E,M85115,SUTTON ROAD SURGERY,6.4
05E,M85001,CASTLE VALE PRIMARY CARE CENTRE,6.2
05E,M85031,THE HARLEQUIN SURGERY,6.1
05E,M85717,DOWNSFIELD MEDICAL CENTRE,6.0
05E,M85750,HUMBERSTONE ROAD SURGERY,5.3
05D,M83681,ALL SAINTS SURGERY,6.9
05D,M83010,GORDON STREET,6.7
05D,M83641,ROCESTER,6.5
05D,M83026,CARLTON STREET,6.4
05D,M83027,TRENT MEADOWS,6.2
05D,C81018,DOVE RIVER,6.1
05D,M83042,BRIDGE,6.1
05D,M83065,BARTON,6.0
05D,M83051,WETMORE,5.9
05D,M83718,PEEL CROFT,5.5
05C,M87628,DR B. K. PRASHARA,9.3
05C,M87614,TINCHBOURNE STREET PRACTICE,8.8
05C,M87610,DR S J JAIN,8.2
05C,Y02653,HIGH OAK SURGERY,7.9
05C,M87026,ST. JAMES MEDICAL PRACTICE2,7.6
05C,M87018,THE SUMMERHILL SURGERY,7.5
05C,M87623,ALEXANDRA MEDICAL CENTRE,7.5
05C,M87025,DRS PARRY & COX,7.4
05C,Y02955,KATES HILL SURGERY,7.2
05C,M87625,CRESTFIELD SURGERY,7.2
05A,M86028,CENTRAL MEDICAL CENTRE,9.9
05A,M86045,PARADISE MEDICAL CENTRE,9.9
05A,M86619,STATION STREET WEST SURGERY,9.8
05A,M86624,JUBILEE HEALTH CENTRE,8.7
05A,M84065,BEECH TREE MEDICAL PRACTICE,8.5
05A,M86612,GEORGE ELIOT MEDICAL CENTRE,8.2
05A,M86607,LONGFORD MEDICAL CENTRE,7.7
05A,M86026,WILLENHALL PRIMARY CARE CENTRE - 2,7.6
05A,M86041,HKMC,7.4
05A,M86002,BELL GREEN HEALTH CENTRE,7.4
04Y,Y02594,ESSINGTON MEDICAL CENTRE,8.5
04Y,M83613,WARDLES LANE SURGERY,7.8
04Y,M83738,AELFGAR SURGERY,7.6
04Y,M83001,HORSEFAIR PRACTICE,7.3
04Y,M83107,BIDEFORD WAY SURGERY,7.3
04Y,Y02354,SANDY LANE SURGERY,6.7
04Y,M83639,DR A YI,6.6
04Y,M83727,NORTON CANES PRACTICE,6.5
04Y,M83698,SOUTHFIELD WAY SURGERY,6.3
04Y,M83016,HIGH STREET SURGERY,6.2
04X,M85116,FERNLEY MEDICAL CENTRE,9.9
04X,M85024,THE LIMES MEDICAL CENTRE,9.6
04X,M85075,B'HAM HEARTLANDS SURGERY,8.7
04X,M85084,THE WAND MEDICAL CENTRE,8.4
04X,M85756,SPRINGFIELD MEDICAL PRACTICE,8.3
04X,M85774,SPRINGFIELD SURGERY,8.1
04X,M85043,HAWKESLEY MEDICAL PRACTICE,7.8
04X,M85733,MOOR GREEN LANE MEDICAL CENTRE,7.7
04X,M85174,SPARKBROOK HEALTH CENTRE,7.1
04X,M85007,WEST HEATH SURGERY,7.0
04W,M85739,PAK HEALTH CENTRE- R.BHATTI,9.7
04W,M85005,THE PARK MEDICAL CENTRE,9.6
04W,M85015,SPARKHILL SURGERY,9.4
04W,M85736,ACOCKS GREEN MEDICAL CENTRE,8.8
04W,M85677,FERNBANK MEDICAL PRACTICE,8.5
04W,M85792,COTMORE SURGERY,8.3
04W,Y01068,AMAANAH MEDICAL PRACTICE,8.3
04W,M85684,CITY ROAD MEDICAL CENTRE,8.0
04W,M85008,MIRFIELD SURGERY-GOLDSTEIN,7.9
04W,M85759,DR S BRINKSMAN & PARTNERS,7.7
04V,C82678,THURMASTON HEALTH CENTRE,9.2
04V,C82627,DR YB SHAH'S PRACTICE,8.9
04V,C82097,DR RK HIRANI'S PRACTICE,8.7
04V,C82091,BIRSTALL MEDICAL CENTRE,7.4
04V,C82027,THE OLD SCHOOL SURGERY,7.2
04V,C82106,THE FAMILY PRACTICE,7.1
04V,C82064,FOREST HOUSE SURGERY,7.1
04V,C82103,DISHLEY GRANGE MEDICAL PRACTICE,6.9
04V,C82121,HEATH LANE SURGERY,6.8
04V,C82052,DR AM LEWIS' PRACTICE,6.6
04R,C81626,NORMANTON MEDICAL CENTRE,9.4
04R,C81100,THE NEW PARKFIELDS SURGERY,8.4
04R,C81014,DERWENT VALLEY MEDICAL PRACTICE,7.6
04R,C81059,RIPLEY MEDICAL CENTRE,7.5
04R,C81031,PARK SURGERY,7.4
04R,C81054,HOLLYBROOK MEDICAL CENTRE,7.4
04R,C81006,CHARNWOOD SURGERY,7.3
04R,C81071,OSMASTON SURGERY,7.2
04R,C81087,HAVEN MEDICAL CENTRE,7.2
04R,C81035,VILLAGE SURGERY,7.2
04Q,C83030,BILLINGHAY MEDICAL PRACTICE,7.0
04Q,C83067,LONG BENNINGTON SURGERY,6.6
04Q,C83013,RUSKINGTON SURGERY,6.5
04Q,C83080,THE HARROWBY LANE SURGERY,6.1
04Q,C83008,SWINGBRIDGE SURGERY,6.0
04Q,C83020,ANCASTER SURGERY,5.9
04Q,C83053,COLSTERWORTH SURGERY,5.8
04Q,C83011,MILLVIEW MEDICAL CENTRE,5.8
04Q,C83040,ST. PETERS HILL SURGERY,5.8
04Q,C83075,VINE STREET SURGERY,5.8
04N,C84082,SOAR VALLEY SURGERIES,5.6
04N,C84017,BELVOIR HEALTH GROUP,4.9
04N,C84005,EAST LEAKE MEDICAL GROUP,4.8
04N,C84084,RADCLIFFE-ON-TRENT. HEALTH CENTRE,4.8
04N,C84028,THE RUDDINGTON MEDICAL CENTRE,4.8
04N,C84146,TRENT BRIDGE FAMILY MEDICAL PRACTICE,4.6
04N,C82040,ORCHARD SURGERY,4.6
04N,C84048,KEYWORTH MEDICAL PRACTICE,4.4
04N,C84605,LUDLOW HILL SURGERY,4.2
04N,C84149,SOUTHVIEW SURGERY,4.2
04M,C84032,CHURCH STREET MEDICAL CENTRE,7.3
04M,C84002,CHURCH WALK SURGERY,6.3
04M,C84042,SAXON CROSS SURGERY,6.1
04M,C84065,ABBEY MEDICAL CENTRE,6.0
04M,C84030,THE OAKS MEDICAL CENTRE,5.3
04M,C84107,THE LINDEN MEDICAL GROUP,5.2
04M,C84705,HICKINGS LANE MEDICAL CENTRE,5.2
04M,C84112,BRAMCOTE SURGERY,5.2
04M,C84003,WEST END SURGERY,5.2
04M,C84080,THE MANOR SURGERY,5.0
04L,C84095,OAKENHALL MEDICAL PRACTICE,7.1
04L,C84033,WESTDALE LANE SURGERY,6.6
04L,C84066,DAYBROOK MEDICAL PRACTICE,6.5
04L,C84124,WHYBURN MEDICAL PRACTICE,6.4
04L,C84612,THE WILLOWS MEDICAL CENTRE,6.3
04L,C84053,TORKARD HILL MEDICAL CENTRE,6.1
04L,C84026,STENHOUSE MEDICAL CENTRE,6.0
04L,C84055,HIGHCROFT SURGERY,5.7
04L,C84131,NEWTHORPE MEDICAL PRACTICE,5.6
04L,C84150,UNITY SURGERY,5.4
04K,C84096,RADFORD HEALTH CENTRE (N PHILLIPS),9.8
04K,C84635,WOLLATON VALE HC (GHAHARIAN),8.4
04K,C84647,BILBOROUGH SURGERY,7.9
04K,C84129,DR MC JONES & PARTNERS,7.4
04K,C84092,MEADOWS HEALTH CENTRE (SHANKAR),7.4
04K,C84141,ST. ANN'S HEALTH CENTRE (IBRAHIM),7.3
04K,C84043,LEEN VIEW SURGERY,7.2
04K,C84046,CLIFTON MEDICAL PRACTICE,7.2
04K,C84072,THE WELLSPRING SURGERY,6.8
04K,C84672,THE DALE SURGERY,6.7
04J,C81058,DR RR LIVINGS' PRACTICE,8.3
04J,C81043,RECTORY ROAD MEDICAL CENTRE,8.1
04J,C81001,DR DJ COLLINS' PRACTICE,7.3
04J,C81012,DR IR SERRELL'S PRACTICE,7.3
04J,C81015,NEWBOLD SURGERY,7.2
04J,C81045,DR S LANGAN'S PRACTICE,7.2
04J,C81002,DR SA KINGHORN'S PRACTICE,7.2
04J,C81024,HOLYWELL MEDICAL GROUP,7.0
04J,C81041,DR MR SPENCER'S PRACTICE,6.9
04J,C81084,DR DI ANDERSON'S PRACTICE,6.8
04H,C84123,BILSTHORPE SURGERY,7.3
04H,C84113,MAJOR OAK MEDICAL PRACTICE,6.6
04H,C84021,MIDDLETON LODGE PRACTICE,6.1
04H,C84087,RAINWORTH HEALTH CENTRE,5.7
04H,C84029,LOMBARD STREET SURGERIES,5.6
04H,C84045,COLLINGHAM MEDICAL CENTRE,5.5
04H,C84660,HOUNSFIELD SURGERY,5.4
04H,C84019,FOUNTAIN MEDICAL CENTRE,5.4
04H,C84009,BARNBY GATE SURGERY,5.2
04H,C84059,CLIPSTONE HEALTH CENTRE,5.1
04G,Y01139,DR DATTA & PARTNERS,8.3
04G,K83076,HASSAN,7.2
04G,K83058,CLARENCE AVENUE SURGERY,7.1
04G,K83047,ABBEY MEDICAL PRACTICE,6.9
04G,K83020,RILLWOOD MEDICAL CENTRE,6.8
04G,K83033,MOLLA & KESANI,6.7
04G,K83011,THE REDWELL MEDICAL CENTRE,6.6
04G,K83028,DR BEVAN & PARTNERS,6.5
04G,K83069,DR ALEXANDER,6.5
04G,K83050,THE CRESCENT MEDICAL CENTRE,6.5
04F,K82050,WATER EATON HEALTH CENTRE,7.2
04F,K82032,STANTONBURY HEALTH CENTRE,6.4
04F,K82015,PARKSIDE MEDICAL CENTRE,6.2
04F,K82026,WHADDON HOUSE SURGERY,6.0
04F,K82027,PURBECK HEALTH CENTRE,5.8
04F,K82003,WOLVERTON HEALTH CENTRE,5.4
04F,K82013,THE RED HOUSE SURGERY,5.4
04F,K82039,BEDFORD STREET SURGERY,5.4
04F,K82054,ASHFIELD MEDICAL CENTRE,5.2
04F,K82610,THE GROVE SURGERY,5.1
04E,C84016,OAKWOOD SURGERY,7.6
04E,C84127,DR BANGA'S PRACTICE,7.5
04E,C84710,BULL FARM PRIMARY CARE RESOURCE CENTRE,7.4
04E,C84679,DR B KHAN THE ACORN MEDICAL PRACTICE,7.4
04E,C84067,ASHFIELD HOUSE (ANNESLEY),7.0
04E,C84057,PLEASLEY SURGERY,6.7
04E,C84629,"HEALTH CARE COMPLEX, KIRKBY",6.7
04E,C84074,FAMILY MEDICAL CENTRE (KIRKBY),6.7
04E,C84012,WILLOWBROOK MEDICAL PRACTICE,6.7
04E,C84114,HEALDSWOOD SURGERY,6.4
04D,C83655,METHERINGHAM SURGERY,7.2
04D,C83062,CHURCH WALK SURGERY,6.9
04D,C83031,NETTLEHAM MEDICAL PRACTICE,6.8
04D,C83033,HIBALDSTOW MEDICAL PRACTICE,6.7
04D,C83074,WILLINGHAM-BY-STOW SURGERY,6.6
04D,C83018,CLEVELAND SURGERY,6.6
04D,C83029,BRANSTON & HEIGHINGTON FAMILY PRACTICE,6.5
04D,C83044,CASKGATE STREET SURGERY,6.5
04D,C83071,NEWARK ROAD SURGERY,6.4
04D,C83637,CROSSROADS MEDICAL PRACTICE,6.4
04C,C82080,SHEFA MEDICAL PRACTICE,9.8
04C,C82015,RUSHEY MEAD HEALTH CENTRE,9.7
04C,C82671,DR GANDECHA & PARTNER,9.6
04C,C82659,MELBOURNE ROAD HEALTH CENTRE (R KAPUR),9.3
04C,Y02500,NORTHERN HEIGHTS MEDICAL CENTRE,9.2
04C,C82018,DR H V TRIVEDI & PARTNERS,8.7
04C,C82023,ST. MATTHEWS MEDICAL CENTRE (AIA LENNOX),8.7
04C,C82667,THE CHARNWOOD PRACTICE,8.6
04C,Y00137,THE WILLOWS MEDICAL CENTRE,7.8
04C,C82063,EAST LEICESTER MEDICAL PRACTICE(S LONGWORTH),7.7
03Y,C81096,DR WS RIDDELL'S PRACTICE,8.5
03Y,C81011,CRESWELL MEDICAL CENTRE,8.2
03Y,C81638,CASTLE STREET MEDICAL CENTRE,7.8
03Y,C81055,DR CSK SINGH'S PRACTICE,7.7
03Y,C81056,DR PC JACKSON'S PRACTICE,7.7
03Y,C81029,STAFFA HEALTH,7.5
03Y,C81661,BLACKWELL MEDICAL CENTRE,7.3
03Y,C81008,BLUE DYKES SURGERY,7.2
03Y,C81033,SHIRES HEALTHCARE,7.2
03Y,C81655,DR ME HEHIR-STRELLEY'S PRACTICE,7.1
03X,C81604,EDEN SURGERY,7.3
03X,C81022,DR WEBB AND PARTNERS,6.8
03X,C81021,OLD STATION SURGERY,6.4
03X,C81115,GLADSTONE HOUSE SURGERY,6.4
03X,C81026,ADAM HOUSE MEDICAL CENTRE,6.1
03X,C81061,LITTLEWICK MEDICAL CENTRE,6.0
03X,C81090,"DRS MILLER, PURNELL, BAILEY",5.8
03X,C81010,THE MOIR MEDICAL CENTRE,5.6
03X,C81083,THE GOLDEN BROOK PRACTICE,5.3
03X,C81097,COLLEGE STREET MEDICAL PRACTICE,5.3
03W,C82112,SEVERN SURGERY,7.1
03W,C82119,NARBOROUGH HEALTH CENTRE,6.6
03W,C82108,LONG STREET SURGERY,6.3
03W,Y02725,OADBY & WIGSTON WALK-IN MEDICAL CENTRE,6.3
03W,C82068,NORTHFIELD MEDICAL CENTRE,6.2
03W,C82048,ROSEMEAD DRIVE SURGERY,6.2
03W,C82641,STATION ROAD SURGERY,6.1
03W,C82067,THE CROFT MEDICAL CENTRE,6.1
03W,C82013,BUSHLOE END SURGERY,6.1
03W,C82042,COUNTY PRACTICE,6.0
03V,K83607,DR SUMIRA,6.5
03V,K83002,DR WILCZYNSKI & PARTNERS,5.6
03V,K83614,DR KUMAR & PARTNER STUDFALL MEDICAL CENTRE,5.6
03V,K83059,DR KHALID & PARTNERS,5.2
03V,K83622,GREAT OAKLEY MEDICAL CENTRE,4.0
03V,Y02424,LAKESIDE PLUS LIMITED,2.0
03T,C83019,BEACON MEDICAL PRACTICE,9.7
03T,C83005,SPILSBY SURGERY,8.4
03T,C83650,THE WRAGBY SURGERY,8.1
03T,C83635,WOODHALL SPA NEW SURGERY,7.9
03T,C83032,MERTON LODGE SURGERY,7.8
03T,C83028,HOLBEACH MEDICAL CENTRE,7.6
03T,C83027,THE OLD VICARAGE,7.6
03T,C83021,WAINFLEET SURGERY,7.6
03T,C83045,HAWTHORN MEDICAL PRACTICE,7.6
03T,C83049,OLD LEAKE SURGERY,7.5
03R,B87009,ST. THOMAS ROAD,7.7
03R,B87036,LITTLE LANE,7.5
03R,B87026,THE GRANGE,7.4
03R,B87025,WELBECK ST,7.2
03R,B87022,HOMESTEAD,7.1
03R,B87016,WHITE ROSE,7.0
03R,B87008,LUPSET HEALTH CENTRE,7.0
03R,B87033,NEWLAND SURGERY,6.9
03R,B87004,WARRENGATE,6.7
03R,B87021,ASH GROVE,6.7
03Q,B82033,PICKERING MEDICAL PRACTICE,6.0
03Q,B82074,POSTERNGATE SURGERY,5.9
03Q,B82073,SOUTH MILFORD SURGERY,5.7
03Q,B82006,CLIFTON MEDICAL PRACTICE,5.7
03Q,B82105,TADCASTER MEDICAL CENTRE,5.5
03Q,B82100,FRONT STREET SURGERY,5.5
03Q,B82041,BEECH TREE SURGERY,5.4
03Q,B82068,HELMSLEY SURGERY,5.3
03Q,B82064,TOLLERTON SURGERY,5.2
03Q,B82077,KIRKBYMOORSIDE SURGERY,5.2
03N,C88655,TINSLEY SURGERY,9.7
03N,C88060,SHARROW LANE MEDICAL CENTRE,9.5
03N,C88069,CLOVER GROUP PRACTICE,9.5
03N,C88051,PAGE HALL MEDICAL CENTRE,8.6
03N,C88653,GREENHILL HEALTH CENTRE,8.4
03N,C88059,HAROLD STREET MEDICAL CENTRE,8.4
03N,C88631,MEERSBROOK MEDICAL CENTRE,8.4
03N,C88091,BARNSLEY ROAD SURGERY,8.3
03N,C88048,BURNGREAVE SURGERY,8.1
03N,C88057,CROOKES VALLEY MEDICAL CENTRE,8.0
03M,B82628,HUNMANBY SURGERY,6.4
03M,B82037,FILEY SURGERY,6.2
03M,B82024,EASTFIELD MEDICAL CENTRE,5.9
03M,B82001,FALSGRAVE SURGERY,5.8
03M,B82056,CLAREMONT SURGERY,5.7
03M,B82092,BELGRAVE SURGERY,5.6
03M,B82088,TRAFALGAR MEDICAL PRACTICE,5.4
03M,B82063,WEST AYTON SURGERY,5.3
03M,B82054,SCARBOROUGH MEDICAL GROUP,5.2
03M,B82038,PROSPECT ROAD SURGERY,5.2
